	NT2000-80-8		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
439.453125	-9.96	1.21	1.00
440.917969	-9.87	0.81	1.00
442.382813	-9.79	0.38	1.00
443.847656	-9.72	-0.07	1.00
445.312500	-9.65	-0.52	1.00
446.777344	-9.58	-0.99	1.00
448.242188	-9.52	-1.45	1.00
449.707031	-9.45	-1.93	1.00
451.171875	-9.39	-2.44	0.99
452.636719	-9.33	-2.95	0.99
454.101563	-9.27	-3.45	0.99
455.566406	-9.21	-3.96	1.00
457.031250	-9.15	-4.46	1.00
458.496094	-9.08	-4.97	0.99
459.960938	-9.01	-5.54	0.99
461.425781	-8.94	-6.20	0.99
462.890625	-8.88	-6.92	0.97
464.355469	-8.82	-7.79	0.99
465.820313	-8.78	-8.86	0.98
467.285156	-8.77	-9.95	1.00
468.750000	-8.77	-11.12	1.00
470.214844	-8.80	-12.34	1.00
471.679688	-8.84	-13.59	0.99
473.144531	-8.90	-14.82	1.00
474.609375	-8.98	-15.98	0.99
476.074219	-9.08	-17.07	0.96
477.539063	-9.19	-18.07	0.98
479.003906	-9.31	-18.97	0.99
480.468750	-9.44	-19.76	0.97
481.933594	-9.59	-20.42	0.99
483.398438	-9.74	-20.95	0.99
484.863281	-9.89	-21.37	0.99
486.328125	-10.05	-21.71	0.98
487.792969	-10.19	-22.01	0.98
489.257813	-10.34	-22.28	0.99
490.722656	-10.48	-22.54	1.00
492.187500	-10.62	-22.75	0.99
493.652344	-10.76	-22.91	0.99
495.117188	-10.90	-23.00	1.00
496.582031	-11.04	-23.01	0.99
498.046875	-11.18	-22.97	0.99
499.511719	-11.32	-22.88	0.98
500.976563	-11.44	-22.76	0.99
502.441406	-11.56	-22.60	0.99
503.906250	-11.67	-22.42	0.98
505.371094	-11.77	-22.23	0.97
506.835938	-11.86	-22.04	0.97
508.300781	-11.95	-21.88	0.98
509.765625	-12.04	-21.74	0.95
511.230469	-12.14	-21.55	0.98
512.695313	-12.25	-21.27	0.98
514.160156	-12.35	-20.94	0.98
515.625000	-12.46	-20.51	0.99
517.089844	-12.57	-19.99	0.99
518.554688	-12.67	-19.40	0.98
520.019531	-12.76	-18.74	0.98
521.484375	-12.84	-18.02	0.97
522.949219	-12.91	-17.25	0.93
524.414063	-12.97	-16.48	0.96
525.878906	-13.01	-15.70	0.94
527.343750	-13.05	-14.93	0.97
528.808594	-13.08	-14.17	0.98
530.273438	-13.10	-13.37	0.95
531.738281	-13.13	-12.58	0.93
533.203125	-13.14	-11.78	0.98
534.667969	-13.13	-10.98	0.96
536.132813	-13.12	-10.18	0.90
537.597656	-13.10	-9.43	0.94
539.062500	-13.08	-8.72	0.90
540.527344	-13.05	-8.04	0.92
541.992188	-13.02	-7.37	0.97
