	NT2000-50-C		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
396.972656	-2.85	18.36	1.00
398.437500	-2.86	18.49	1.00
399.902344	-2.87	18.63	1.00
401.367188	-2.88	18.82	1.00
402.832031	-2.89	19.02	1.00
404.296875	-2.90	19.25	1.00
405.761719	-2.91	19.51	1.00
407.226563	-2.91	19.78	1.00
408.691406	-2.91	20.07	1.00
410.156250	-2.90	20.35	1.00
411.621094	-2.89	20.62	1.00
413.085938	-2.88	20.88	1.00
414.550781	-2.87	21.14	1.00
416.015625	-2.86	21.39	1.00
417.480469	-2.84	21.66	1.00
418.945313	-2.82	21.93	1.00
420.410156	-2.80	22.20	1.00
421.875000	-2.77	22.48	1.00
423.339844	-2.74	22.74	1.00
424.804688	-2.70	22.98	1.00
426.269531	-2.66	23.20	1.00
427.734375	-2.61	23.38	1.00
429.199219	-2.56	23.52	1.00
430.664063	-2.50	23.60	1.00
432.128906	-2.45	23.61	1.00
433.593750	-2.41	23.60	1.00
435.058594	-2.37	23.57	1.00
436.523438	-2.34	23.51	1.00
437.988281	-2.31	23.42	1.00
439.453125	-2.28	23.34	0.99
440.917969	-2.26	23.30	1.00
442.382813	-2.24	23.28	1.00
443.847656	-2.22	23.26	1.00
445.312500	-2.19	23.24	1.00
446.777344	-2.16	23.21	1.00
448.242188	-2.13	23.15	1.00
449.707031	-2.10	23.06	1.00
451.171875	-2.07	22.95	1.00
452.636719	-2.05	22.84	1.00
454.101563	-2.04	22.75	1.00
455.566406	-2.02	22.67	1.00
457.031250	-2.00	22.60	1.00
458.496094	-1.98	22.52	1.00
459.960938	-1.96	22.44	1.00
461.425781	-1.94	22.34	1.00
462.890625	-1.92	22.20	1.00
464.355469	-1.89	22.02	1.00
465.820313	-1.88	21.79	1.00
467.285156	-1.86	21.53	1.00
468.750000	-1.86	21.28	1.00
470.214844	-1.85	21.03	1.00
471.679688	-1.85	20.78	1.00
473.144531	-1.86	20.52	1.00
474.609375	-1.87	20.24	1.00
476.074219	-1.88	19.94	1.00
477.539063	-1.90	19.63	0.99
479.003906	-1.94	19.32	1.00
480.468750	-1.98	19.07	1.00
481.933594	-2.03	18.89	1.00
483.398438	-2.08	18.78	1.00
484.863281	-2.14	18.73	1.00
486.328125	-2.19	18.73	1.00
487.792969	-2.24	18.78	1.00
489.257813	-2.29	18.87	1.00
490.722656	-2.34	18.99	1.00
492.187500	-2.38	19.13	1.00
493.652344	-2.42	19.28	1.00
495.117188	-2.46	19.45	1.00
496.582031	-2.49	19.63	1.00
498.046875	-2.52	19.81	1.00
499.511719	-2.55	20.01	1.00
500.976563	-2.58	20.22	1.00
502.441406	-2.61	20.44	1.00
503.906250	-2.64	20.67	1.00
505.371094	-2.67	20.91	1.00
506.835938	-2.69	21.17	1.00
508.300781	-2.71	21.44	1.00
509.765625	-2.73	21.72	1.00
511.230469	-2.75	22.01	1.00
512.695313	-2.77	22.32	1.00
514.160156	-2.78	22.64	1.00
515.625000	-2.79	22.97	1.00
517.089844	-2.79	23.31	1.00
518.554688	-2.79	23.63	1.00
520.019531	-2.78	23.93	1.00
521.484375	-2.76	24.21	1.00
522.949219	-2.75	24.45	1.00
524.414063	-2.74	24.66	1.00
525.878906	-2.72	24.82	1.00
527.343750	-2.71	24.95	1.00
528.808594	-2.71	25.09	1.00
530.273438	-2.71	25.24	1.00
531.738281	-2.71	25.41	1.00
533.203125	-2.72	25.62	1.00
534.667969	-2.72	25.84	1.00
536.132813	-2.72	26.08	1.00
537.597656	-2.72	26.35	1.00
539.062500	-2.71	26.61	1.00
540.527344	-2.71	26.89	1.00
541.992188	-2.70	27.17	1.00
543.457031	-2.69	27.45	1.00
544.921875	-2.67	27.73	1.00
546.386719	-2.65	28.01	1.00
547.851563	-2.62	28.28	1.00
549.316406	-2.60	28.52	1.00
550.781250	-2.57	28.75	1.00
552.246094	-2.54	28.96	1.00
553.710938	-2.52	29.16	1.00
555.175781	-2.49	29.36	1.00
556.640625	-2.46	29.56	1.00
558.105469	-2.43	29.74	1.00
559.570313	-2.39	29.89	0.99
